product_id,price_aed,source,confidence,seen_at
533d4f17db40,39.3,wholesale,1.0,2026-06-05
533d4f17db40,62.8,proxy,0.6,2026-06-05
55212edf54e5,36.0,wholesale,1.0,2026-06-05
55212edf54e5,59.25,proxy,0.6,2026-06-05
06500acad195,30.55,wholesale,1.0,2026-06-05
0449f8ebf405,21.63,wholesale,1.0,2026-06-05
0449f8ebf405,38.41,proxy,0.6,2026-06-05
db95d7c3ebe2,23.58,proxy,0.6,2026-06-05
a23cef909263,22.63,wholesale,1.0,2026-06-05
b664e8713099,38.22,wholesale,1.0,2026-06-05
b664e8713099,63.92,proxy,0.6,2026-06-05
3fe1f0b5199c,38.05,wholesale,1.0,2026-06-05
fdae514eeb1e,54.05,proxy,0.6,2026-06-05
2e8736d2745c,23.23,wholesale,1.0,2026-06-05
2e8736d2745c,37.69,proxy,0.6,2026-06-05
d26c6e46b5b2,32.05,proxy,0.6,2026-06-05
2d9358dbcd22,56.67,wholesale,1.0,2026-06-05
2d9358dbcd22,86.81,proxy,0.6,2026-06-05
84c897fc9df8,85.78,proxy,0.6,2026-06-05
a07501b2b9e9,40.12,wholesale,1.0,2026-06-05
64fdc0c074ea,126.23,proxy,0.6,2026-06-05
bfff0801f223,62.56,wholesale,1.0,2026-06-05
bfff0801f223,90.97,proxy,0.6,2026-06-05
dac03fce2d67,34.12,wholesale,1.0,2026-06-05
dac03fce2d67,54.14,proxy,0.6,2026-06-05
5a4d06d56026,49.07,proxy,0.6,2026-06-05
0492df35191e,30.37,wholesale,1.0,2026-06-05
4a09c55f15e7,55.99,proxy,0.6,2026-06-05
c43bc252a09a,39.14,wholesale,1.0,2026-06-05
320d5e3f580c,35.81,wholesale,1.0,2026-06-05
e342042fcf1e,47.63,proxy,0.6,2026-06-05
cc4067080c1d,62.78,proxy,0.6,2026-06-05
7f15f3a0f044,56.36,wholesale,1.0,2026-06-05
66725353d4ef,128.1,proxy,0.6,2026-06-05
0631906d55e7,52.2,wholesale,1.0,2026-06-05
0631906d55e7,95.09,proxy,0.6,2026-06-05
07cb36dca443,45.48,wholesale,1.0,2026-06-05
0cea64191aee,58.07,proxy,0.6,2026-06-05
19789952834e,25.99,wholesale,1.0,2026-06-05
19789952834e,41.39,proxy,0.6,2026-06-05
b3903433bc54,76.64,proxy,0.6,2026-06-05
fe999c342972,117.05,wholesale,1.0,2026-06-05
fe999c342972,185.79,proxy,0.6,2026-06-05
d66419b67a0e,126.5,proxy,0.6,2026-06-05
a2b99b7b06e7,61.29,wholesale,1.0,2026-06-05
a2b99b7b06e7,97.99,proxy,0.6,2026-06-05
23dda60fd588,105.36,proxy,0.6,2026-06-05
ecdc6aacf37b,80.42,wholesale,1.0,2026-06-05
ecdc6aacf37b,144.07,proxy,0.6,2026-06-05
db478b6cce1e,55.02,wholesale,1.0,2026-06-05
b434c86483d6,87.62,proxy,0.6,2026-06-05
479cc819f20f,72.64,wholesale,1.0,2026-06-05
479cc819f20f,130.3,proxy,0.6,2026-06-05
441cd534f736,46.93,proxy,0.6,2026-06-05
67daecaaea52,24.08,wholesale,1.0,2026-06-05
bce3d6f1915e,43.81,proxy,0.6,2026-06-05
